logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
0.328414300173148,0.0745700147841542,18.0357814324377,1.35476392974978e-55,1.01636492229719e-53,115.752567925559,LRRC32
0.544866057586581,-0.023337015385439,18.0314912636991,1.41822978720998e-55,1.05488416437563e-53,115.707035887055,ADH1B
0.583013729694902,-0.00502237113704497,18.0151943465164,1.68759362673704e-55,1.24460029971857e-53,115.534092320432,TNFRSF11B
0.286054574457837,0.0891722692550321,18.0143507455132,1.70285186540631e-55,1.25055429187328e-53,115.525140744404,FAM89A
0.240540735263981,0.0846329139400428,18.0068068549575,1.84557441376161e-55,1.3384259446467e-53,115.445094701892,MAPKAPK2
-0.323342345447646,-0.121685893713062,-17.9953409249315,2.08571105159817e-55,1.50629879058366e-53,115.323444443398,ATCAY
0.324742985412594,-0.0159574074989293,17.9821484394117,2.40086990489954e-55,1.72674135102382e-53,115.183493017033,RFX4
0.448511987644419,0.118972552561028,17.9787888967748,2.48845917909451e-55,1.78237168774238e-53,115.147856509713,IFITM2
0.303746989391026,0.0172610604152034,17.9777681832605,2.51569805231991e-55,1.79449690986181e-53,115.137029479067,PALLD
-0.405659380228599,-0.222085865520343,-17.9609563090051,3.00971280877813e-55,2.12943298523509e-53,114.958716496135,CAP2
-0.252840090606945,-0.11508684888591,-17.9414721475016,3.7046950137995e-55,2.58956693635263e-53,114.752097857525,TRIM9
-0.300127254915676,-0.146109364700214,-17.9315185413672,4.11944723292868e-55,2.86795916356495e-53,114.646561098288,GRIK1
-0.256552836312902,-0.102013592608351,-17.9227526827342,4.52295435890232e-55,3.1238897070117e-53,114.55362668076,RP5-1022P6.2
0.387243012589495,0.0163568630993576,17.9104472365309,5.15687564173373e-55,3.53367797418801e-53,114.423180022666,ID3
0.219112943932319,0.0291254978770878,17.9047837056567,5.47774665447688e-55,3.73883060867334e-53,114.363147988308,FANCC
-0.363439257071172,-0.207576889869379,-17.9016128218439,5.66602696531704e-55,3.85223434888059e-53,114.329538917944,SSTR1
-0.335094523334085,-0.213417059235546,-17.8923592476556,6.25326553475973e-55,4.21853048963152e-53,114.231463981779,NLK
0.235911806211118,0.0510105022778159,17.891985546685,6.27821787647136e-55,4.21901089343567e-53,114.227503470149,BZRP
-0.211694231571407,-0.0782668612573876,-17.8833883859858,6.88054426880525e-55,4.60599511532905e-53,114.136394303079,HRASLS
-0.265071810115308,-0.121925073236188,-17.8827571978457,6.92697632724055e-55,4.61931122511961e-53,114.129705549019,ATP2B2
-0.227024727173498,-0.109475915319272,-17.861415712941,8.6954748174579e-55,5.73275527264601e-53,113.903573703509,C3orf26
0.427087947557009,0.0645589727218415,17.8597938474863,8.84701952690254e-55,5.8106556553109e-53,113.886390653812,AEBP1
-0.311051703920689,-0.117056579659529,-17.8414608032568,1.07549282904379e-54,7.03720025921322e-53,113.692179176229,PRMT8
0.449317899561,0.046018741745182,17.8324003203063,1.18444887698489e-54,7.69228832235896e-53,113.596210499,CFHR1
-0.273715769519765,-0.127388093860814,-17.8313623045167,1.19761536401751e-54,7.74888305231402e-53,113.585216412842,SCN8A
0.516606802674186,0.0814486222014989,17.8177797491125,1.38399567615128e-54,8.92164620126411e-53,113.441368589958,CEBPD
0.449978918512655,0.0469093742719486,17.8085905352474,1.52625992426094e-54,9.73060585412516e-53,113.344060700802,CFH
-0.357282502549245,-0.180023085726767,-17.7968531444436,1.72941769658669e-54,1.08666119166395e-52,113.219783010223,FGF13
0.226052220724979,0.00390803158329764,17.7843378577802,1.97588098407554e-54,1.23705786071348e-52,113.087285880405,NFE2L2
-0.354400777446516,-0.193726688670236,-17.7830484862171,2.0031865399895e-54,1.24965812647015e-52,113.073636535077,KCNK1
